               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10148,            0.028627,            0.058705,             0.63381,              0.2027,             0.12433,            0.048452,            0.079983,             0.02055,            0.047082,            0.070411,           0.0032877,           0.0032877
                   1,             0.07157,            0.029052,            0.040492,             0.70887,             0.19735,             0.16451,            0.064646,            0.069103,            0.015591,             0.03451,            0.040199,           0.0064091,           0.0064091
                   2,            0.066926,            0.024797,            0.031296,             0.73284,             0.20216,             0.20801,            0.095329,             0.06882,            0.014402,            0.026038,           0.0097739,           0.0093173,           0.0093173
                   3,            0.062198,            0.023836,            0.024326,             0.51161,             0.32484,             0.28113,             0.13115,            0.061889,            0.013874,            0.023908,             0.00904,             0.00904,             0.00904
                   4,            0.057206,            0.023803,            0.021735,             0.53344,             0.34235,             0.32388,             0.17324,            0.054991,            0.013375,            0.021794,             0.00904,             0.00904,             0.00904
                   5,             0.05358,            0.022755,            0.018757,             0.68532,             0.30927,             0.36919,             0.18941,            0.051187,            0.013696,            0.023527,             0.00872,             0.00872,             0.00872
                   6,            0.051015,            0.023185,            0.018021,             0.71469,             0.33204,             0.40159,              0.2082,            0.050714,            0.013258,             0.02147,              0.0084,              0.0084,              0.0084
                   7,            0.049436,            0.023327,            0.016452,             0.53842,             0.39474,             0.42565,             0.23115,            0.047655,            0.013159,            0.018774,             0.00808,             0.00808,             0.00808
                   8,            0.047533,            0.022269,            0.014938,             0.58936,             0.43495,             0.47514,             0.24169,            0.048872,             0.01323,            0.019039,             0.00776,             0.00776,             0.00776
                   9,            0.046511,            0.021636,            0.013651,             0.60972,             0.47618,             0.51676,             0.30489,            0.046918,             0.01297,            0.017177,             0.00744,             0.00744,             0.00744
                  10,            0.045082,            0.021603,             0.01333,              0.6894,             0.47801,              0.5324,             0.31725,            0.043638,            0.012539,            0.017254,             0.00712,             0.00712,             0.00712
                  11,            0.044929,            0.022702,            0.011679,             0.75029,             0.46233,             0.53773,             0.30744,            0.046761,             0.01254,            0.015124,              0.0068,              0.0068,              0.0068
                  12,            0.044076,            0.020958,             0.01165,             0.72399,             0.49547,             0.54043,              0.3235,            0.044102,             0.01275,            0.015683,             0.00648,             0.00648,             0.00648
                  13,            0.042572,            0.020977,            0.011222,             0.72475,             0.50403,             0.54131,             0.31387,            0.044683,            0.012511,            0.015225,             0.00616,             0.00616,             0.00616
                  14,            0.042507,            0.020695,            0.010447,             0.74587,             0.52274,             0.57693,             0.32426,            0.044906,            0.012458,            0.013793,             0.00584,             0.00584,             0.00584
                  15,            0.040384,            0.019857,           0.0098506,             0.73801,              0.5299,              0.5743,             0.34551,            0.043701,            0.012311,            0.014281,             0.00552,             0.00552,             0.00552
                  16,            0.041072,            0.020524,           0.0089533,              0.7445,             0.57154,             0.58669,             0.34291,            0.043275,             0.01226,            0.013123,              0.0052,              0.0052,              0.0052
                  17,            0.040479,            0.019081,           0.0091515,             0.73623,             0.56777,             0.59312,             0.35136,            0.041265,            0.012233,            0.013032,             0.00488,             0.00488,             0.00488
                  18,            0.038881,            0.019906,           0.0084967,             0.67732,             0.57018,             0.58116,              0.3139,            0.042937,            0.012003,             0.01337,             0.00456,             0.00456,             0.00456
                  19,            0.038077,            0.019663,           0.0080772,              0.6621,             0.57025,             0.59758,             0.35556,            0.041616,            0.011985,            0.012814,             0.00424,             0.00424,             0.00424
                  20,              0.0377,            0.019451,            0.008106,             0.75819,             0.56644,             0.60446,             0.35533,            0.041207,            0.011828,            0.012412,             0.00392,             0.00392,             0.00392
                  21,             0.03681,            0.018867,           0.0069696,             0.79883,             0.55323,             0.62093,             0.38372,            0.039671,            0.011845,             0.01226,              0.0036,              0.0036,              0.0036
                  22,            0.036785,            0.018928,           0.0069968,             0.81845,             0.51625,               0.619,             0.38149,            0.040502,            0.012221,            0.012917,             0.00328,             0.00328,             0.00328
                  23,             0.03542,             0.01855,           0.0065651,             0.70773,             0.61081,             0.62358,             0.38083,            0.039226,            0.011703,            0.012484,             0.00296,             0.00296,             0.00296
                  24,             0.03575,            0.018878,           0.0065274,             0.76177,             0.57441,             0.61459,             0.40265,            0.037856,            0.011483,            0.012581,             0.00264,             0.00264,             0.00264
